	Word	Count
2	ice	3244
130	bay	896
3	ham	886
87	rum	846
6	cake	673
20	cream	583
22	sauce	563
21	oil	518
54	salad	512
30	corn	510
25	bread	492
5	lemon	424
11	tomato	379
16	rice	355
36	pork	343
14	apple	341
76	beef	326
1	potato	305
32	sage	299
28	lime	276
37	pepper	274
126	lamb	268
108	cod	252
4	coffee	241
95	salmon	219
7	bacon	219
79	shrimp	199
101	beer	199
135	peas	179
15	honey	168
31	turkey	162
19	orange	154
26	banana	148
43	sugar	140
27	dough	132
84	tuna	128
127	curry	120
18	carrot	119
24	pumpkin	118
78	mint	117
0	potatoes	116
41	coconut	115
33	avocado	114
77	basil	113
8	mushrooms	112
164	dill	111
73	asparagus	109
139	salsa	104
69	onions	97
66	cucumber	93
17	kale	91
99	spaghetti	89
10	leek	88
45	flour	86
75	buttermilk	86
128	dates	85
13	pineapple	85
93	cauliflower	84
138	mango	81
154	lard	75
71	mustard	75
53	spinach	75
38	vinegar	73
57	thyme	71
132	rhubarb	67
88	dressing	66
29	apples	62
48	broccoli	62
151	cabbage	61
83	red wine	61
50	yogurt	58
100	eggplant	57
85	strawberries	55
125	rosemary	54
23	carrots	51
55	peanut butter	51
103	sweet potato	50
63	zucchini	50
9	filling	48
120	lettuce	44
170	saffron	44
173	beets	43
59	shallot	42
105	capers	41
180	butternut squash	40
142	prosciutto	39
34	bananas	39
192	oats	36
72	horseradish	35
115	peaches	30
60	celery	30
183	quinoa	29
185	goat cheese	29
202	prawns	28
217	walnuts	28
145	almonds	27
96	lemons	27
51	blueberries	27
163	cardamom	27
116	mayonnaise	25
133	okra	25
98	tomato sauce	25
86	pork chops	23
58	shallots	23
12	ketchup	22
165	chives	22
195	tarragon	22
110	sour cream	21
67	cucumbers	21
227	sherry	21
81	radishes	21
166	sea salt	21
194	raspberries	21
237	marinade	20
186	vodka	20
62	white wine	20
153	kimchi	20
146	green beans	19
152	coriander	19
106	red pepper	19
136	brandy	19
220	nutmeg	19
137	skewers	18
172	spring onions	18
119	leeks	18
175	red onion	17
201	couscous	17
204	lemongrass	17
240	chickpeas	16
134	turnips	16
206	coconut milk	15
117	lentils	15
158	tofu	15
218	pine nuts	14
249	peanuts	14
161	tahini	14
97	oranges	14
122	maple syrup	14
102	sweet potatoes	13
112	raisins	13
178	pork shoulder	13
190	egg white	13
209	balsamic vinegar	13
181	turmeric	12
90	fish sauce	12
236	flank steak	12
47	cherry tomatoes	11
124	corned beef	11
174	limes	11
177	red cabbage	11
198	crabmeat	11
140	sake	11
184	chicken skin	11
191	puff pastry	10
56	oregano	10
208	hazelnuts	10
250	paprika	10
171	virgin olive oil	10
148	fava beans	10
199	sauerkraut	9
244	bok choy	9
179	cranberries	9
147	peppercorns	9
246	creme fraiche	9
42	cream cheese	9
196	cumin	8
144	pecans	8
258	italian sausage	8
168	scallions	8
92	lime juice	8
213	bay leaf	8
89	chicken breasts	8
35	avocados	8
207	green onion	7
82	red wine vinegar	7
52	cornmeal	7
114	pork loin	7
74	white bread	7
123	black beans	7
233	sweet onion	7
162	feta cheese	6
61	currants	6
129	ice water	6
247	orange juice	6
205	rice noodles	6
176	red onions	6
306	corn tortillas	6
91	worcestershire sauce	6
243	kaffir lime	6
232	rice wine	6
267	ricotta cheese	5
200	thai basil	5
212	pork tenderloin	5
225	white onion	5
197	apricots	5
65	molasses	5
235	white pepper	5
193	red peppers	5
68	cheddar cheese	5
266	parmesan cheese	5
187	swiss cheese	5
141	beef short ribs	5
156	allspice	5
224	mustard seeds	4
46	cocoa powder	4
111	tomato paste	4
157	graham cracker	4
286	cashews	4
109	corn syrup	4
223	mustard seed	4
107	sesame seeds	4
297	granny smith apples	4
251	smoked paprika	4
182	kosher salt	4
203	mirin	4
121	iceberg lettuce	4
272	chicken broth	3
234	dijon mustard	3
257	baby bok choy	3
241	chile powder	3
39	cider vinegar	3
245	marinara sauce	3
131	marjoram	3
70	baking powder	3
277	wonton wrappers	3
219	green peas	3
118	cracked black pepper	3
215	galangal	3
149	cinnamon stick	3
318	english cucumber	3
80	shortening	3
49	chicken stock	3
290	dipping sauce	3
160	sunflower seeds	3
303	french bread	2
298	celery seed	2
300	coriander seed	2
273	bittersweet chocolate	2
304	white rice	2
321	orange marmalade	2
307	flour tortillas	2
265	chicken meat	2
264	cottage cheese	2
274	udon noodles	2
296	black olives	2
293	prunes	2
253	tamarind paste	2
288	chili powder	2
280	basmati rice	2
268	brown rice	2
269	cannellini beans	2
279	sugar snap peas	2
256	eggplants	2
229	baby carrots	2
226	white vinegar	2
231	cayenne pepper	2
188	bean sprouts	2
167	greek yogurt	2
94	pineapple juice	2
159	chili oil	2
155	orzo pasta	2
221	fennel seeds	2
222	fennel seed	2
230	dark rum	2
189	yukon gold potatoes	2
242	sesame oil	2
150	cinnamon sticks	2
313	baking soda	1
319	button mushrooms	1
294	beef chuck	1
295	kalamata olives	1
143	vegetable stock	1
169	snow peas	1
320	italian parsley	1
299	red pepper flakes	1
301	caraway seeds	1
302	caraway seed	1
104	beef stock	1
305	lamb shoulder	1
312	garlic powder	1
113	golden raisins	1
308	sriracha sauce	1
317	pinto beans	1
316	garlic smashed	1
292	beef broth	1
309	romaine lettuce	1
310	pumpkin puree	1
311	black peppercorns	1
315	red potatoes	1
314	italian bread	1
254	yellow onion	1
210	plum tomatoes	1
291	curry powder	1
275	corn kernels	1
252	wheat flour	1
248	garbanzo beans	1
259	herbes de provence	1
260	monterey jack cheese	1
261	serrano pepper	1
262	serrano peppers	1
263	tilapia	1
239	pepper sauce	1
238	red lentils	1
40	apple cider vinegar	1
228	sherry vinegar	1
270	mascarpone cheese	1
271	mozzarella cheese	1
276	water chestnuts	1
64	white wine vinegar	1
44	confectioners sugar	1
278	baby spinach	1
216	ginger root	1
214	celery salt	1
281	green olives	1
282	egg noodles	1
283	romano cheese	1
284	peanut oil	1
285	rice flour	1
211	provolone cheese	1
287	cornstarch	1
255	yellow onions	1
289	angel hair pasta	1
322	anise seed	1
