Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.86432709,49.79666378,42.57927193,18.06343769,,,,35.83433122,15.19459546,34.69950253,22.9386657,,,,,,,1.106423044,,,,76.06403081,82.32874445,77.98423398,76.46333957,75.7071795,68.28541284,59.02357853,50.40737124,44.11811151,41.63118342
Afghanistan,AFG,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,31.94702634,26.51911952,32.60326449,41.06746127,35.64949323,40.87586694,41.82833069,38.14843102,36.06464886,27.02127781,37.23807016,48.62098697,43.91323905,36.428579,35.86717967,36.06561131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.52408118,54.67931958,40.04707097,39.1451752,17.43722277,13.6385048,14.49562375,48.45610854,56.91887522,,65.08641968
Angola,AGO,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,65.49482503,,,,,,,49.68793658,44.69141738,45.42154064,42.07283976,40.59791162,27.629101,,,,23.27657671,14.34224701,8.69300388,5.239923467,,,,,,,,,0.234865204,0.305922033,,,,,,,,,,,,,,,,0.097308253,,0.081153768,0.05444516,0.03870436,0.063119924,0.073454091,0.085170953,0.14349843,,,
Albania,ALB,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.07672667,11.08539894,9.820444318,5.532591892,6.616207793,5.750397884,3.463285233,5.621865369,5.669594911,9.338585434,7.698351573,5.229415559,4.31107302,5.624207625,4.471958018,4.109861138,4.577602012,4.513193323,3.002909203,5.610236234,8.239678325,9.757941325,9.042059252
Andorra,AND,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.508495049,6.540601169,9.485408267,10.73127494,11.04027322,8.392797042,4.930022044,3.955891906,6.32259855,11.63986952,28.85890232,30.40370991,2.105570089,14.78239961,10.34936478,0.850345282,0.667680715,1.221121664,0.483717641,1.249405144,1.136937959,0.8067121,0.756301317,0.581574194
Arab World,ARB,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,6.595061198,6.310560938,,,2.991733971,3.04646945,,,,,,,,,,3.824128616,,2.970975219,4.012660984,5.210469203,,,,,4.205058762,3.287012732,1.961294351,2.112950533,2.779497761,,2.621658381,2.840917923,2.251900682,2.017501789,2.066506183,3.201969778,2.785283004,2.531619515,2.681033972,2.45351219,2.692324982,4.47528579,3.217165564,4.137683471,3.924193296
United Arab Emirates,ARE,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,1.213612667,1.874415957,,,,5.869115893,,,,,,4.760861088,,1.943194295,3.670616895,7.563202611,,,,,,0.883818892,0.572275991,0.811316018,,,,1.083391006,,0.904623314,0.842165473,,,,1.675772686,1.770489474,1.849456609,,1.491736902,3.166881404,7.504244638
Argentina,ARG,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,71.51672236,72.12415416,77.22665177,81.63537584,77.91825229,76.82995977,72.74008045,73.87570296,74.31840884,76.69927295,71.75390308,69.90732425,70.51725335,68.86898821,68.24315512,68.78781674,65.44610252,69.40121355,64.95483967,66.83595088,62.5132745,74.96870549,73.40185109,66.07078805,66.62847775,61.05934458,59.63901405,54.98129281,56.2560001,60.0516707,61.00757499,55.2990125,51.93018275,49.78575289,51.92294054,48.60054399,50.6466266,49.3935387,43.77850973,44.39294203,45.87766362,49.20506148,47.95874538,46.61903729,45.11928361,50.90517519,53.11599487,50.48941422,51.13923653,53.63657688,53.66343099,55.73899052,55.81941838,62.41017082,65.14167541,62.2276669,56.47516999
Armenia,ARM,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.87045841,,8.061195538,14.13781528,24.40363406,14.55108496,14.44719451,12.94680382,13.70981588,11.7101737,7.964388706,18.61033489,19.90463158,16.71604952,19.23102475,25.92098399,30.06497837,31.76157399,31.15195863,33.77857541,32.89646432,32.82162932
American Samoa,ASM,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,1.493142344,1.622593156,3.034640238,,36.06732424,17.45072315,,,8.701194802,,,,,,,,,,,,,,,,,,16.45554662,27.14536603,,,,,18.6649491,,37.58913122,,48.30508377,50.65432006,58.68952895,56.84034197,37.79009954,25.66733247,52.09462867,54.77089211,52.27173239,52.30470557
Australia,AUS,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,,39.8346475,39.7859422,39.57698542,36.35536387,41.36690431,34.09229139,32.80498359,34.01353623,38.33876304,36.91115716,31.93498279,34.54330571,35.64230237,32.69532221,31.75959023,29.49195371,33.77235746,34.4300932,30.98558204,30.63417236,25.01876606,28.67048772,24.83437815,27.34658033,24.18120895,22.43151864,23.69578863,22.74267569,20.92345139,22.07264865,24.3442151,24.94168695,22.2157043,24.84437244,24.42693483,22.26001142,24.58169016,20.65163484,21.49117697,21.75573081,19.31059666,21.75544841,16.82909974,15.38732345,13.53974685,12.33442034,14.07032541,11.28926472,11.54108642,12.78258125,13.09908661,14.00641088,17.18968342,15.8459846,14.93719471,12.54682713
Austria,AUT,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,,5.557814881,4.69559481,5.453183726,4.755475443,5.871041729,4.732779526,4.577434604,4.671643438,4.840580915,5.502427375,4.52598246,3.827966894,4.154539795,4.262494226,3.758381722,4.031327305,4.012810101,4.158332922,4.392598796,4.660413726,4.563617996,4.659755402,4.284119578,3.883300173,3.470374118,3.499457436,3.684295454,3.317610056,3.254953551,3.340032437,3.515482228,3.75200601,3.842931866,4.509889165,4.773156661,4.808400752,5.424177822,4.759743784,5.135736304,5.304065161,5.992742667,5.831725778,6.17595933,6.044518881,6.184763615,6.556383269,7.363439172,6.934782921,6.969375741,7.181195227,7.38841393,7.405041024,7.444465778,7.702138729,7.619500855,7.456444125
Azerbaijan,AZE,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.369216381,6.92296832,7.507132894,6.292376142,3.163514841,2.312329743,3.029392083,4.840489427,4.259263781,7.47941377,5.029066297,8.337662835,1.111104246,3.572643819,2.783515893,2.696595558,3.477695072,3.649089749,3.82233346,6.056662099,3.89295837,4.307703146,3.62723981
Burundi,BDI,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,,,,75.27383648,,,,,,,,,88.37486638,91.64141398,93.25435304,,,,,,,,,,,,,,,,,77.17273658,91.42775282,91.31525382,95.08597461,98.28950581,99.11277963,97.86628384,91.00106511,87.83055271,93.1021165,91.02667061,92.15970124,86.78249339,86.27692258,53.08383588,64.82589233,67.49852556,81.41274114,73.86508521,68.79271295,63.69050357,72.07231257,72.4563614,76.18302063,79.89257649,76.74958499
Belgium,BEL,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,6.042774744,6.890170155,6.170288677,7.072772559,7.159545985,8.248561427,8.185052046,8.060171776,8.388857988,9.286027027,9.58089343,9.622555623,8.86279665,10.0989711,9.489010303,9.658075108,9.549167999,9.268150479,9.385370774,10.73797087,11.0195672,10.17655271,10.86905355,10.27243205,10.23655922,10.26021827,9.960387872,9.683034317,9.425331256,10.29161988,10.81268089,10.68261898,10.4605952,10.28522075,10.14381832,10.52440166,10.41328264,10.03669653,8.907230067,9.165267631,8.545753788,8.678575666,8.314175607,8.045961677,7.796436942,7.937964338,8.58011356,9.62623459,8.850693359,8.845835789,9.215180046,9.101028246,9.388218963,9.676392944,10.13709064,10.16759277,9.663668722
Benin,BEN,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,93.32755008,89.58900523,93.29802684,88.66085919,76.61758586,67.75618675,74.36298798,73.8017051,70.90918253,74.30837054,62.07164602,61.24892609,43.35927607,,,,,70.70115337,61.82268955,,35.95558922,,,,,,,,,,15.46025157,11.30047768,19.78160627,14.11808667,11.82760823,12.54618657,15.30578496,16.38858773,20.68488194,20.06231475,32.75612241,18.59078253,18.33291172,25.89851929,40.55890659,38.0416297,30.10950775,49.29701518,67.59903677,38.06342398,40.3401794,36.94547047,29.85870696,23.24164749,33.42835789,30.73992944,
Burkina Faso,BFA,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,84.40123541,75.71226485,76.10188011,83.32047502,81.48723992,74.85587115,76.59694755,65.3922929,67.88555042,72.63819048,67.89865776,67.87977559,71.85521045,74.82426139,45.24885045,51.09874904,55.53047575,49.08970702,41.32741114,39.88252788,40.85379277,33.49741606,,,,,,,,,,,,24.72132679,20.42683785,16.07341329,16.36638598,16.20478786,19.13855769,21.50376073,19.58098522,18.70013719,18.512687,16.51807489,,24.07317342,33.22427112,26.77501379,33.34718915,38.48965264,27.04443549,31.16730429,26.45256678,44.01599654,33.37265852,36.68899157,
Bangladesh,BGD,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,13.04660826,13.68297201,12.721089,12.45126434,15.69587129,19.97005494,19.28183866,17.98332885,17.91852283,20.19584932,18.64081885,18.13763369,17.83625521,14.31399154,12.64074692,11.02551564,11.81218123,13.56525988,10.44881552,10.0854106,8.357378001,7.229672183,,7.608775685,6.066962367,6.808468112,5.78812281,6.184176023,6.221821768,5.928288427,6.519945365,4.81914348,3.694887091,4.029749102,3.859956404,2.6439934,3.950195255,,2.705983819,,,
Bulgaria,BGR,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.09389137,13.63153141,15.02247823,15.27135204,9.811258086,9.62142868,12.12662496,10.15593959,10.41329853,10.48745645,8.569539669,8.643877532,12.41790787,16.62762095,16.07980207,15.54755051,15.35460901,17.60080978,16.13131766,15.51074796,16.68640921,14.60711978,14.64785151
Bahrain,BHR,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,,,,,,,,,5.229195305,3.519764534,3.934601092,4.19611245,2.050464945,1.511499997,1.681705818,1.473883312,1.237192458,3.143462847,8.734382886,1.284932438,1.90803706,0.997902517,1.003723106,0.94926511,1.153498981,1.093295849,1.298190076,3.389514775,2.824135449,4.863173661,6.509581294,5.495408243,1.986847799,2.407299134,5.693358413,,,,0.635631638,0.607835835,0.630655359,0.715808818,0.550737734,0.43687302,0.368377037,0.383907482,2.056804771,3.42475822,1.850810059,1.690825863,2.591778094,3.931010503,2.330600145,2.199875212,2.563336713,,
