Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.39400267,20.86601917,18.29367528,22.35022517,,,,23.30932934,24.12860939,23.68956382,19.0638697,,,,,,,6.350932806,,,,27.45899747,31.83185034,27.93733582,31.45776453,31.69393991,27.90938552,30.56306384,29.85828909,29.5621146,27.71023577
Afghanistan,AFG,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,7.835266799,13.11986389,17.3358408,17.09985058,20.80067679,20.8816634,16.00906678,20.58064447,20.54160031,25.43237071,28.46417301,23.8652945,22.88171419,24.42357159,16.32412649,15.35138584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3695294,18.29361615,13.69184761,14.02927132,4.276023382,7.546840145,9.513260572,19.22712359,23.55999801,,32.27117026
Angola,AGO,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,19.34147576,,,,,,,15.13108728,15.67962145,13.39212282,11.8308829,13.0863059,14.37385396,,,,,,,,,,,32.4960491,,,,,,,,,,,,,,,,,,,,,,16.01422132,,13.50316169,15.23143638,18.59513476,20.06653697,17.75272262,16.97749693,15.68219871,,,
Albania,ALB,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.27417545,27.17921337,26.94101531,27.3680538,21.83442721,19.36315449,20.1621389,19.62150419,19.26387716,16.24113411,19.96502337,16.42150054,16.41602395,17.07336219,17.92999944,16.60874315,17.2790863,17.70437714,10.32621761,14.49735675,14.14975106,14.11397168,13.54611049
Andorra,AND,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.72896996,29.13137398,30.44526817,23.04603248,21.08069276,19.98601203,20.10839324,19.36370739,18.88024797,18.18226136,,18.75581334,17.9408471,20.15049058,21.66413853,22.03834146,22.40515425,23.4639772,23.77984178,23.63712544,23.5715665,23.81304334,23.13325234,22.20055854
Arab World,ARB,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,20.80654837,16.28751407,,14.66155833,15.10988382,16.4495977,16.43611738,14.69741928,15.53419296,,,,,,18.03286583,,17.44927226,16.90816314,16.20486431,,,,,,17.13240092,16.0663296,14.65339244,16.51615819,15.99718615,15.75429872,12.52800537,,11.1894426,11.59061006,,15.5208443,,13.16469253,12.54562805,13.04069232,,13.15626993,14.22286177,
United Arab Emirates,ARE,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,11.00698337,10.89452635,11.1169793,10.65101627,9.560862991,12.25165425,,,,,,10.89239037,,17.13734962,16.06640906,14.85573428,,,,,,11.27023295,11.10554624,10.696325,,,,7.140033265,,6.469226736,6.597455237,,,,6.992417583,7.072341118,7.560387176,,6.670103626,8.263915764,8.214451028
Argentina,ARG,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,3.893525052,4.136595077,5.905130597,6.506880909,6.657727595,6.582883768,5.508639814,6.818122915,5.823839226,5.048369675,6.462034562,9.243882301,4.759167861,4.560207041,4.756879695,5.284569618,5.659600409,7.141993341,5.672115447,4.993482232,4.407767058,3.86375449,4.51463855,4.716573692,6.891672407,4.562007874,3.783935401,3.597666076,4.025496184,5.394680595,5.971798353,5.443323907,5.188516344,5.465274639,4.923210387,5.316684795,4.932910598,4.91481903,5.009674355,5.720095301,4.629073378,4.19577337,3.30014291,2.836841179,2.58219116,3.69844769,4.538985957,3.769389313,2.620178607,2.395598312,2.489189352,2.28082483,2.42019703,2.640648379,3.624236387,4.177719909,6.863237206
Armenia,ARM,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.16352544,,25.95167469,25.33045068,24.77223499,20.36579306,17.9446157,21.62698746,18.46916411,15.94994366,18.08442886,18.66659588,19.30406091,17.95286587,19.75722824,19.03545381,20.31743194,19.51266334,19.89318821,19.21460813,18.27307611,16.53916048
American Samoa,ASM,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
