	Word	Count
8	ice	1324
3	cake	871
33	cream	614
15	salad	612
35	sauce	549
4	potato	374
22	bread	358
50	apple	349
40	lemon	339
34	tomato	319
11	corn	307
119	ham	302
9	rice	287
5	oil	280
47	pork	249
31	bacon	233
86	sugar	206
17	coffee	205
38	shrimp	204
68	pepper	190
30	rum	184
18	beef	182
108	banana	178
61	curry	168
74	honey	148
99	salmon	146
13	pumpkin	144
46	coconut	138
153	orange	138
0	sage	138
49	potatoes	137
16	dough	137
112	avocado	133
44	beer	131
27	turkey	117
57	cauliflower	109
70	lime	104
79	mint	97
138	spinach	96
2	carrot	96
32	lamb	95
83	peas	94
116	sweet potato	93
19	eggplant	91
122	pineapple	88
135	asparagus	87
128	mango	85
24	broccoli	81
117	mushrooms	79
36	tofu	76
102	bay	76
75	dressing	73
55	yogurt	73
107	bananas	72
37	spaghetti	71
20	peanut butter	71
100	dill	70
67	basil	69
115	zucchini	69
129	lard	67
59	kale	66
26	flour	64
147	quinoa	52
92	cod	50
94	cucumber	49
7	salsa	49
28	tuna	48
43	onions	48
198	oats	47
53	vinegar	45
62	filling	43
158	rhubarb	42
66	rosemary	41
114	mustard	40
90	apples	40
78	lettuce	39
125	strawberries	39
51	butternut squash	38
211	goat cheese	37
140	vodka	37
180	cream cheese	35
82	pork chops	35
131	saffron	32
65	thyme	32
76	red wine	31
48	leek	31
42	carrots	30
84	chickpeas	30
88	buttermilk	30
23	prosciutto	28
71	white wine	28
111	tahini	26
183	cabbage	26
109	peaches	25
72	turmeric	22
110	skewers	22
132	kimchi	22
64	lemons	22
157	sweet potatoes	21
63	marinade	21
29	puff pastry	21
93	dates	20
80	scallions	20
161	tomato sauce	19
97	red pepper	19
96	sour cream	18
45	coconut milk	18
149	capers	17
73	cardamom	17
224	prawns	17
39	cumin	16
197	beets	16
134	ketchup	15
152	cranberries	15
85	pork tenderloin	15
91	almonds	15
101	cherry tomatoes	15
194	bok choy	14
172	chives	14
133	fish sauce	14
14	shallot	14
1	lentils	13
165	brandy	13
41	raspberries	13
95	cucumbers	13
106	chicken breasts	13
226	couscous	12
233	walnuts	12
160	corned beef	12
144	sake	12
141	raisins	12
151	avocados	11
164	oranges	11
228	pork loin	11
81	pork shoulder	11
105	dipping sauce	11
196	blueberries	11
58	horseradish	11
156	okra	10
56	greek yogurt	10
170	brown rice	10
173	maple syrup	10
171	paprika	9
217	green beans	9
77	lemongrass	9
166	orange juice	8
21	shallots	8
201	green onion	8
118	leeks	8
123	eggplants	8
89	pecans	8
192	sea salt	8
176	tarragon	7
155	mayonnaise	7
188	lime juice	7
238	virgin olive oil	7
257	black beans	7
232	chicken meat	7
10	cornmeal	6
293	artichoke hearts	6
146	coconut oil	6
159	egg white	6
219	radishes	6
268	french bread	6
175	molasses	6
181	italian sausage	6
235	cottage cheese	6
69	rice noodles	6
256	cashews	5
240	romaine lettuce	5
214	shiitake mushrooms	5
231	flank steak	5
186	red wine vinegar	5
279	feta cheese	5
261	coriander	5
195	baby bok choy	5
203	chili powder	5
248	sherry	5
98	red peppers	5
54	red onion	5
120	pine nuts	5
124	celery	5
209	beef short ribs	4
60	udon noodles	4
212	apricots	4
143	hazelnuts	4
130	pepper sauce	4
202	oregano	4
250	baby spinach	4
163	prunes	4
274	bittersweet chocolate	4
139	corn tortillas	4
191	chicken stock	4
185	cheddar cheese	4
103	teriyaki sauce	4
241	sauerkraut	4
12	corn kernels	4
242	marinara sauce	4
213	white bread	3
52	balsamic vinegar	3
254	sweetened condensed milk	3
252	corn syrup	3
243	lemon pepper	3
222	spring onions	3
295	snow peas	3
127	bean sprouts	3
225	fava beans	3
126	graham cracker	3
137	rose water	3
294	angel hair pasta	3
227	limes	3
179	cornstarch	3
177	chicken broth	3
270	cocoa powder	3
182	nutmeg	3
278	tilapia	3
287	penne pasta	3
190	red bell pepper	3
162	peanuts	3
289	oyster sauce	3
150	sugar snap peas	3
25	flour tortillas	3
148	egg noodles	3
269	baking soda	3
251	white rice	2
276	apple cider vinegar	2
283	arborio rice	2
292	plum tomatoes	2
299	green peas	2
267	cumin seed	2
239	garlic powder	2
275	cider vinegar	2
291	button mushrooms	2
272	ricotta cheese	2
288	red onions	2
253	kosher salt	2
290	parmesan cheese	2
266	cumin seeds	2
284	orzo pasta	2
206	semisweet chocolate	2
237	baking powder	2
215	unsalted butter	2
178	pork sausage	2
184	red cabbage	2
187	creme fraiche	2
199	sunflower seeds	2
167	allspice	2
204	garlic salt	2
145	lamb shoulder	2
136	margarine	2
121	cooking oil	2
113	chicken skin	2
6	chili oil	2
174	thai basil	2
229	miso paste	2
223	sesame oil	2
302	phyllo dough	1
312	caraway seeds	1
311	dill weed	1
169	cinnamon sticks	1
310	sriracha sauce	1
285	beef broth	1
286	sweet chili sauce	1
168	cinnamon stick	1
309	serrano peppers	1
308	serrano pepper	1
154	shortening	1
307	white onion	1
142	golden raisins	1
301	smoked paprika	1
306	lemon grass	1
305	yukon gold potatoes	1
87	turnips	1
296	peppercorns	1
297	basmati rice	1
282	panko bread	1
104	rice wine	1
300	dijon mustard	1
304	jalapeno pepper	1
303	pork loin roast	1
298	yellow mustard	1
277	red potatoes	1
281	mozzarella cheese	1
280	provolone cheese	1
234	creamy peanut butter	1
230	lasagna noodles	1
244	poppy seeds	1
245	cayenne pepper	1
246	sesame seeds	1
247	poultry seasoning	1
249	sherry vinegar	1
221	mirin	1
220	jasmine rice	1
218	ice water	1
216	dark rum	1
255	tamarind paste	1
258	kidney beans	1
259	rice flour	1
260	garam masala	1
210	herbes de provence	1
262	coriander seeds	1
263	coriander seed	1
264	curry powder	1
265	wheat flour	1
208	marjoram	1
207	palm sugar	1
205	mustard powder	1
200	worcestershire sauce	1
271	black olives	1
273	red pepper flakes	1
193	cake flour	1
189	bay leaf	1
236	white pepper	1
313	caraway seed	1
