	Word	Count
5	chicken	1882
2	cake	1694
12	chocolate	912
9	egg	804
15	cheese	708
13	salad	599
22	uk	490
7	wine	392
4	pasta	387
11	healthy	371
26	bread	352
51	apple	338
23	dessert	332
92	ham	305
6	corn	303
14	pizza	284
53	fish	272
45	vegan	263
80	frui	250
41	noodles	248
48	eggs	237
29	salt	226
32	bacon	219
65	jam	211
28	garlic	210
16	coffee	203
71	sugar	203
50	ice cream	201
31	rum	195
1	toast	182
21	cookies	181
58	curry	167
25	french	166
30	milk	158
64	honey	147
91	vegetarian	140
63	ginger	135
78	bbq	135
47	beer	131
17	pancakes	119
90	diet	115
102	thai	103
98	protein	100
76	chips	98
42	japan	96
34	lamb	95
109	spinach	92
67	pudding	87
83	vegetables	87
105	asparagus	82
27	broccoli	76
69	lobster	75
55	yogurt	72
40	spaghetti	68
75	almond	67
8	meatballs	67
95	zucchini	66
57	kale	65
38	hummus	63
103	crab	55
114	citrus	53
143	cabbage	52
111	italy	49
158	keto	49
20	asia	49
46	onions	47
106	artichoke	47
56	lasagna	47
10	france	46
68	farming	45
93	waffles	43
101	dumplings	42
135	french toast	41
33	duck	40
39	soy	40
123	quiche	39
74	apples	39
136	cupcakes	35
137	donuts	34
94	caramelize	31
60	thyme	31
0	meal prep	29
43	carrots	29
81	whipped cream	28
19	enchilada	28
59	roast chicken	27
86	quesadilla	26
61	granola	26
66	cereal	25
72	clams	25
108	jelly	23
24	stir fry	22
52	chowder	21
112	hot dogs	21
110	mashed potatoes	20
49	grits	20
77	dates	19
70	scrambled eggs	19
97	hamburger	18
87	potato chips	18
96	milkshake	17
54	bagels	17
85	aioli	17
118	peru	16
127	vietnamese	16
140	poke	15
138	gumbo	15
133	gnocchi	15
104	ketchup	15
107	grapes	14
18	ravioli	14
79	marinating	13
142	fajita	13
3	dips	13
161	walnuts	12
36	ziti	12
156	fondu	11
128	kiwi	11
141	linguine	10
119	seaweed	10
155	green beans	9
116	fiber	9
37	falafel	9
149	yorkshire	9
134	pepperoni	9
160	jambalaya	8
177	pan sauce	8
170	black beans	7
157	tater tots	7
82	egg yolks	7
132	indian food	7
73	goose	7
121	mayonnaise	7
113	halibut	7
62	blanch	7
154	porter	6
146	apple crumble	6
84	slow roast	6
173	baked beans	6
165	hawaiian	6
122	shocking	6
148	searing	6
147	acorn squash	6
44	hash browns	5
130	sri lankan	5
99	celery	5
145	brining	5
144	venison	5
159	kabobs	5
139	bisque	5
124	jerky	5
117	cannabis	5
153	sumac	4
131	ethiopia	4
152	reuben	4
126	marine	4
150	oregano	4
120	barley	4
89	roasted vegetables	3
175	applesauce	2
129	netherlands	2
167	kelp	2
35	franks	2
180	apple juice	2
162	chimichanga	2
125	greece	2
115	carne asada	2
179	dicing	1
178	english muffins	1
176	omnivores	1
181	ahi tuna	1
174	irish stew	1
168	alfalfa	1
172	kefir	1
171	kidney beans	1
88	oat milk	1
169	pittsburgh	1
151	moose	1
166	burmese	1
164	bison	1
163	canned food	1
100	graham crackers	1
182	asian noodles	1
