	Word	Score
46	new	0.24215525454583606
72	food	0.20533097303119935
103	one	0.1785265581717884
9	great	0.1763903429458012
366	recipe	0.17496619946180972
207	chef	0.162962704382453
35	get	0.1625558062441697
13	make	0.14500832403070335
26	thank	0.14317728240842859
100	love	0.13936261236202285
14	best	0.1353444932464755
123	us	0.1271048059462391
57	good	0.12700308141166827
391	time	0.12695221914438287
304	today	0.1162202807471614
41	thanks	0.10737024623950009
17	foodnetwork	0.10655644996293354
50	tonight	0.10345385165852353
368	chicken	0.09562106249657042
144	happy	0.09490899075457468
386	dinner	0.09399346994343731
61	see	0.09078914710445649
16264	blog	0.0877374110673319
140	go	0.08209169939865142
2	cooking	0.07710719720468126
74	kitchen	0.0742080479694129
88674	foodistas	0.0742080479694129
165	know	0.0731908026237047
0	delicious	0.07278390448542142
287	night	0.07176665913971322
558	team	0.0711054496650029
1981	restaurant	0.07105458739771749
32	chefs	0.07024079112115093
413	way	0.06947785711186978
136	pm	0.06912182124087192
1218	summer	0.06866406083530323
82	amazing	0.06785026455873668
649	back	0.06785026455873668
156	last	0.06764681548959503
856	need	0.0664769833420306
468	week	0.0658666361346057
2248	recipes	0.06530715119446619
457	perfect	0.06418818131418717
934	next	0.06388300771047471
884	got	0.06367955864133307
485	youre	0.0628149000974811
1345	first	0.06093299620792094
179	made	0.05996661312949815
425	th	0.05981402632764193
2750	menu	0.05894936778378996
3959	weekend	0.058847643249219136
188	check	0.058695056447362906
178	favorite	0.0586441941800775
240	right	0.05808470923993799
180	yes	0.05798298470536717
7	want	0.05788126017079635
234	year	0.057525224299798484
1362	tomorrow	0.05666056575594652
301	well	0.05630452988494865
335	try	0.05574504494480914
33	ready	0.05559245814295291
334	easy	0.05488038640095717
157	season	0.05365969198610734
486	making	0.05340538064968029
1185	salad	0.05320193158053865
397	cheese	0.05259158437311373
4122	en	0.052489859838542915
921	come	0.05238813530397209
42	much	0.05213382396754505
152	live	0.05172692582926176
589	people	0.05147261449283472
531	thats	0.05121830315640767
122	lunch	0.05121830315640767
601	take	0.051167440889122257
702	drink	0.05065881821626816
376	eat	0.05004847100884324
519	chocolate	0.04989588420698701
533	going	0.04862432752485177
503	book	0.04842087845571013
12	always	0.04821742938656849
407	better	0.04745449537728734
330	look	0.04740363311000193
223	fun	0.04740363311000193
125	cook	0.0472510463081457
476	sweet	0.047149321773574886
394	would	0.04689501043714783
552	sauce	0.046844148169862425
867	looking	0.046691561368006194
176	think	0.046538974566149964
514	really	0.04562345375501259
4743	via	0.04547086695315636
607	little	0.04526741788401472
1452	years	0.04521655561672931
1535	coming	0.04491138201301685
79	family	0.044504483874733575
456	world	0.044351897072877344
8381	massimobottura	0.04394499893459407
98	watch	0.043843274400023245
377	breakfast	0.04338551399445456
134	morning	0.042673442252458824
8630	maurocolagreco	0.04262257998517341
726	dish	0.042469993183317185
471	big	0.0415544723721798
55344	tredwells	0.0415544723721798
1450	heres	0.0415544723721798
93	work	0.04140188557032358
225	cake	0.040994987432040296
181	never	0.04063895156104243
21	show	0.04058808929375702
71	excited	0.04038464022461538
1492	home	0.04023205342275915
883	sunday	0.039672568482619644
126	ever	0.0394182571461926
523	cream	0.03921480807705095
854	ill	0.038807909938767676
506	still	0.038807909938767676
3163	top	0.03845187406776981
273	special	0.03835014953319899
195	pasta	0.03809583819677194
421	say	0.0378923891276303
217	beautiful	0.03784152686034489
311	many	0.03743462872206161
416	hot	0.0373837664547762
738	find	0.0373837664547762
198	use	0.037332904187490794
1476	wine	0.037282041920205386
233	every	0.03677341924735129
627	help	0.03641738337635342
844	two	0.0358070361689285
1339	le	0.03540013803064522
15324	tylerflorence	0.034993239892361944
1	even	0.03468806628864948
70	nice	0.034637204021364075
915	could	0.03458634175407866
89	may	0.033823407744797515
707	sure	0.03377254547751211
47	episode	0.03361995867565588
2127	restaurants	0.033314785071943416
306	life	0.03326392280465801
2250	fresh	0.03326392280465801
53	dishes	0.03275530013180391
537	please	0.032653575597233093
8200	anaros	0.03250098879537686
1674	getting	0.032297539726235225
312	friends	0.03204322838980817
828	butter	0.03173805478609572
43	tune	0.031636330251524895
1635	pie	0.03153460571695407
1271	meal	0.031331156647812435
77	enjoy	0.03107684531138539
695	party	0.0306190849058167
111	el	0.03056822263853129
419	pizza	0.03046649810396047
499	celebrate	0.03041563583667506
1402	keep	0.030008737698391783
600	everyone	0.02995787543110637
1735	wait	0.029398390490966864
1302	part	0.029347528223681453
18992	rickbayless	0.029194941421825226
1392	whats	0.029194941421825226
611	guys	0.029144079154539815
831	things	0.029144079154539815
222	looks	0.029093216887254407
142	nyc	0.029042354619968996
1808	classic	0.028940630085398177
944	pork	0.028889767818112765
473	soup	0.028889767818112765
777	days	0.02873718101625654
2694	start	0.028584594214400308
1254	fried	0.028533731947114897
54	lets	0.02848286967982949
551	red	0.028432007412544077
76	hope	0.028432007412544077
701	brunch	0.028432007412544077
278	something	0.028177696076117028
