	Word	Count
0	recipes	1544
6	tan	636
18	pho	186
10	eba	108
34	pesto	73
22	lasagna	48
93	french toast	45
63	kimchi	44
82	quiche	43
58	dumplings	42
60	guacamole	35
35	chorizo	29
67	kir	28
85	ceviche	26
76	shortbread	21
28	roti	21
49	harissa	21
11	meatloaf	20
23	fish tacos	20
33	aioli	18
25	moussaka	18
45	shrimp scampi	18
19	coconut milk	18
118	shakshuka	17
44	gelato	15
70	daiquiri	15
189	irish coffee	14
96	paella	14
122	cannoli	14
42	peanut sauce	14
54	naan	13
130	crepes	12
48	om ali	12
263	torsk	12
27	rotisserie chicken	12
73	lobster rolls	12
158	tiramisu	11
3	ratatouille	11
137	gazpacho	10
113	chimichurri	10
318	spanish tortilla	10
151	prime rib	10
26	baklava	10
31	paneer	10
36	carnitas	10
145	bouillabaisse	9
88	soda bread	9
97	paprika	9
181	empanadas	9
132	pad thai	9
61	opera	9
8	french onion soup	9
200	bubble tea	8
259	cottage pie	8
103	potato soup	8
110	upside down	8
30	tzatziki	8
89	macarons	8
39	panna cotta	8
280	spag bol	7
2	calzone	7
99	grilled cheese sandwich	7
53	macaroni salad	7
173	breakfast bake	7
248	arancini	7
59	pico de gallo	7
71	red chicken	7
124	yorkshire pudding	7
163	chicken satay	6
100	brioche	6
79	jollof rice	6
17	cheese sauce	6
366	white wine sangria	6
330	spanakopita	6
129	greek salad	6
40	churros	6
64	juicy chicken	6
335	french bread	6
20	japchae	6
1	miso soup	5
125	crispy fried chicken	5
347	coconut curry	5
108	spring rolls	5
320	beef stroganoff	5
233	tahini dressing	5
291	chicken tikka masala	5
307	banoffee	5
187	biscotti	5
203	banh mi	5
170	kabobs	5
180	chicken marsala	5
78	toasti	5
56	tabbouleh	5
15	pizza chicken	5
41	peanut sauce i	5
24	mexican street corn	5
225	beef wellington	4
66	corn tortillas	4
253	ribollita	4
254	chicken shawarma	4
202	marinara sauce	4
119	cauliflower cheese	4
7	french onion soup i	4
131	corn dogs	4
77	duke	4
274	beetroot hummus	4
333	tapenade	4
279	chicken katsu	4
281	samosas	4
51	german potato salad	4
308	vegetarian moussaka	4
114	tortillas i	4
265	butternut squash risotto	4
157	poutine	4
221	rugelach	4
80	feijoada	4
209	affogato	4
106	red beans	4
105	cajun chicken	4
223	barbacoa	4
246	chicken burgers	4
84	jerk chicken	4
37	teriyaki sauce	4
102	roast beef	4
224	coconut chicken	4
169	basil butter	3
288	indonesian fried rice	3
50	kale chips	3
171	marinated flank steak	3
165	vanilla cupcake	3
294	pomegranate molasses	3
297	ciabatta	3
284	satay sauce	3
164	baby back ribs	3
52	calamari	3
232	raita	3
162	sunday gravy	3
298	schnitzel	3
177	quiche lorraine	3
205	dutch apple pie	3
179	mushroom risotto	3
222	roasted brussels sprouts	3
249	meat pie	3
255	picadillo	3
256	mint sauce	3
21	avgolemono	3
417	beer can chicken	3
193	juicy thanksgiving turkey	3
267	chickpea curry	3
403	quinoa tabbouleh	3
272	pork pie	3
188	bolognese sauce	3
215	kielbasa	3
239	wonton soup	3
217	croissants	3
207	buffalo shrimp	3
183	cajun chicken pasta	3
185	enchilada sauce	3
299	irish cream	3
72	saffron rice	3
364	agua fresca	3
68	horchata	3
127	peking duck	3
69	bagna cauda	3
