	Word	Count
9	chicken	2022
0	uk	1787
6	cake	1346
58	wine	1176
19	chocolate	1150
40	jam	908
3	ham	901
7	egg	846
72	rum	820
41	fish	672
11	cheese	598
2	french	561
10	france	527
49	salad	512
32	corn	503
26	bread	491
63	bbq	437
5	pasta	399
14	pizza	357
18	dessert	345
81	italy	341
13	apple	341
21	salt	328
96	lamb	265
4	coffee	240
62	frui	237
51	crab	237
69	toast	231
24	garlic	229
27	milk	227
20	ice cream	223
23	lobster	220
31	eggs	219
8	bacon	213
87	beer	199
98	healthy	195
15	honey	168
106	duck	165
29	cookies	164
120	slovenia	155
45	sugar	140
126	cabbage	122
102	curry	120
123	peru	116
97	vegan	116
74	vegetables	116
115	japan	109
54	ginger	109
67	asparagus	108
38	almond	104
22	chips	103
59	pudding	102
105	porter	101
71	asia	100
17	noodles	100
66	onions	96
129	citrus	93
16	kale	91
83	spaghetti	89
113	thai	86
103	dates	83
136	vegetarian	80
64	artichoke	78
34	meatballs	74
50	spinach	72
56	thyme	71
57	caramelize	68
76	poke	64
46	broccoli	62
28	apples	60
48	yogurt	58
78	soy	57
75	lasagna	56
43	ravioli	56
39	clams	55
36	diet	53
25	carrots	50
65	zucchini	50
70	pancakes	49
101	farming	49
104	waffles	45
52	dumplings	43
42	gnocchi	42
89	goose	41
144	seaweed	37
108	donuts	37
86	jelly	36
141	gumbo	35
80	protein	34
33	halibut	34
125	americas	34
61	aioli	32
109	grits	31
130	falafel	31
118	french toast	30
60	celery	30
177	ethiopia	28
153	walnuts	28
145	vietnamese	28
143	linguine	27
107	roast chicken	26
170	netherlands	26
90	mayonnaise	25
112	yorkshire	24
88	quiche	24
162	enchilada	24
110	marine	23
119	milkshake	23
91	blanch	23
53	catfish	23
94	chowder	23
122	grapes	22
12	ketchup	22
93	hummus	22
127	venison	22
84	cereal	21
73	cupcakes	20
150	kiwi	20
124	green beans	19
30	scrambled eggs	17
166	barley	17
77	hamburger	16
1	mashed potatoes	15
117	hawaiian	15
152	pittsburgh	13
139	granola	13
134	quesadilla	12
132	stir fry	11
85	whipped cream	11
35	ziti	11
133	shocking	10
55	oregano	10
47	pepperoni	10
159	meal prep	10
167	fiber	9
44	potato chips	8
155	slow roast	8
37	keto	8
158	cannabis	7
92	black beans	7
140	jambalaya	7
111	fondu	7
154	kelp	7
147	dips	6
172	carne asada	6
138	acorn squash	6
128	united kingdom	6
82	albacore tuna	6
148	hot dogs	6
146	moose	5
137	reuben	5
116	jerky	5
95	brining	5
171	sumac	4
131	bisque	4
79	apple juice	4
175	bison	4
163	apple crumble	4
157	fajita	4
160	baked beans	4
168	egg yolks	3
100	searing	3
142	franks	3
114	greece	3
156	hash browns	3
161	ostrich	2
68	french dip	2
135	graham crackers	2
151	pan sauce	2
164	bagels	2
99	applesauce	1
169	oat milk	1
149	tater tots	1
165	omnivores	1
173	kabobs	1
174	eggrolls	1
121	indian food	1
176	roasted vegetables	1
178	ahi tuna	1
179	kefir	1
180	bluefish	1
181	avacado	1
182	italian bread	1
