	Word	Count
1	chicken	90
8	uk	84
24	ham	60
22	wine	49
11	rum	47
2	france	46
23	chocolate	40
16	french	40
0	cake	38
40	egg	37
37	fish	26
3	cheese	24
66	salad	22
45	jam	22
46	bbq	22
31	salt	21
34	curry	20
7	bread	19
53	milk	19
27	pizza	18
44	corn	16
30	toast	16
28	lamb	16
104	peru	16
19	pasta	16
25	apple	14
39	ice cream	14
55	honey	13
17	frui	13
12	coffee	12
92	italy	11
43	lobster	11
72	eggs	11
21	dessert	9
14	crab	9
80	bacon	8
56	clams	8
52	garlic	7
57	broccoli	7
6	healthy	6
33	artichoke	6
74	japan	6
58	asparagus	5
9	cookies	5
78	seaweed	5
54	almond	5
20	asia	5
99	meatballs	5
48	caramelize	5
13	thyme	5
5	farming	5
64	yogurt	5
15	waffles	5
87	vegetables	4
61	cabbage	4
59	goose	4
62	duck	4
96	lasagna	4
18	ginger	4
50	walnuts	4
42	thai	4
97	vegetarian	4
10	diet	3
81	aioli	3
70	citrus	3
71	barley	3
95	vegan	3
85	soy	3
63	beer	3
110	ethiopia	3
98	chips	3
32	sugar	3
77	kale	3
84	pudding	2
83	gnocchi	2
91	onions	2
93	linguine	2
103	yorkshire	2
76	gumbo	2
109	marine	2
49	french toast	2
41	dates	2
35	shocking	2
106	spinach	2
107	blanch	2
65	poke	2
75	porter	2
47	green beans	2
112	pittsburgh	1
4	ketchup	1
111	dumplings	1
100	mayonnaise	1
101	quesadilla	1
102	pancakes	1
105	french dip	1
108	netherlands	1
38	hummus	1
94	ziti	1
69	mashed potatoes	1
29	apple juice	1
51	kelp	1
26	apples	1
60	carrots	1
67	grits	1
68	fajita	1
73	donuts	1
90	halibut	1
36	catfish	1
79	jelly	1
82	quiche	1
86	protein	1
88	zucchini	1
89	pepperoni	1
113	kiwi	1
