	Word	Count
0	cake	40
1	chicken	96
2	france	22
3	cheese	24
4	ketchup	1
5	egg	28
6	apple	16
7	pizza	20
8	ham	63
9	honey	9
10	kale	4
11	noodles	2
12	uk	86
13	dessert	14
14	farming	8
15	healthy	7
16	bread	22
17	milk	15
18	french	38
19	fish	27
20	corn	18
21	wine	47
22	curry	23
23	dates	5
24	cookies	5
25	diet	3
26	rum	39
27	coffee	15
28	thyme	5
29	crab	6
30	waffles	6
31	whipped cream	1
32	apples	2
33	chocolate	42
34	asia	7
35	dumplings	4
36	artichoke	2
37	shocking	1
38	catfish	1
39	thai	3
40	vegetarian	5
41	italy	10
42	pasta	22
43	vegetables	8
44	vegan	5
45	roast chicken	1
46	eggs	4
47	frui	11
48	ice cream	14
49	asparagus	4
50	jam	31
51	lamb	13
52	salad	27
53	gnocchi	3
54	hummus	1
55	lobster	11
56	bbq	20
57	green beans	3
58	poke	2
59	grits	1
60	fajita	1
61	mashed potatoes	3
62	salt	7
63	toast	11
64	broccoli	7
65	citrus	3
66	yogurt	3
67	lasagna	4
68	onions	3
69	almond	3
70	sugar	1
71	porter	1
72	duck	7
73	seaweed	6
74	garlic	7
75	jelly	3
76	bacon	9
77	aioli	3
78	clams	8
79	quiche	2
80	pudding	1
81	chips	3
82	celery	1
83	japan	3
84	caramelize	2
85	zucchini	1
86	pepperoni	1
87	halibut	1
88	linguine	2
89	meatballs	6
90	mayonnaise	1
91	quesadilla	1
92	pancakes	1
93	yorkshire	1
94	peru	2
95	soy	1
96	ethiopia	3
97	beer	2
98	goose	2
99	ravioli	1
100	ziti	1
101	spinach	1
102	pittsburgh	1
103	greece	1
104	walnuts	1
105	marine	1
106	ginger	2
107	bisque	1
